count,site,yr,vegPeriod
1,site28,2017,229.23125
5,site28,2011,229.23125
6,site29,2012,228.30125
1,site29,2013,228.30125
1,site29,2017,228.30125
8,site29,2011,228.30125
5,site29,2003,228.30125
4,site29,2007,228.30125
2,site29,2010,228.30125
7,site29,2004,228.30125
4,site29,2006,228.30125
2,site29,2014,228.30125
4,site29,2016,228.30125
2,site29,2005,228.30125
3,site29,2015,228.30125
1,site30,2001,229.27
3,site30,1999,229.27
1,site30,2000,229.27
1,site30,2008,229.27
3,site30,2003,229.27
1,site30,2010,229.27
2,site30,2009,229.27
1,site30,2007,229.27
5,site30,2006,229.27
1,site30,2002,229.27
2,site30,2014,229.27
4,site30,2012,229.27
2,site30,2011,229.27
0,site30,2017,229.27
0,site30,2015,229.27
2,site30,2016,229.27
0,site30,2004,229.27
0,site30,2005,229.27
3,site30,2013,229.27
2,site31,2017,226.46875
7,site31,2012,226.46875
2,site31,2013,226.46875
0,site31,2001,226.46875
3,site31,2009,226.46875
4,site31,2004,226.46875
2,site31,2016,226.46875
7,site31,2005,226.46875
13,site31,2011,226.46875
0,site31,2006,226.46875
5,site31,2010,226.46875
2,site31,2007,226.46875
5,site31,2015,226.46875
1,site31,2008,226.46875
2,site32,2011,226.7925
3,site32,2017,226.7925
0,site32,2007,226.7925
1,site32,2008,226.7925
0,site32,2004,226.7925
2,site32,2006,226.7925
4,site32,2014,226.7925
0,site32,2015,226.7925
3,site32,2016,226.7925
1,site32,1998,226.7925
1,site32,2002,226.7925
2,site32,2003,226.7925
1,site32,2009,226.7925
0,site32,2012,226.7925
3,site32,2005,226.7925
2,site32,2010,226.7925
0,site33,2013,225.6
1,site33,2009,225.6
0,site33,2008,225.6
2,site33,2017,225.6
1,site33,2003,225.6
3,site33,2011,225.6
1,site33,2015,225.6
0,site33,2006,225.6
0,site33,2007,225.6
3,site33,2014,225.6
1,site33,2016,225.6
0,site33,2002,225.6
5,site34,2007,226.88
2,site34,2016,226.88
0,site34,2017,226.88
0,site34,2006,226.88
0,site34,2003,226.88
3,site34,2012,226.88
2,site34,2015,226.88
4,site34,2013,226.88
12,site34,2014,226.88
3,site34,2010,226.88
0,site34,2002,226.88
2,site34,2011,226.88
2,site34,2009,226.88
5,site34,2008,226.88
2,site35,2007,233.20875
0,site35,2001,233.20875
5,site35,2006,233.20875
3,site35,2013,233.20875
4,site35,2016,233.20875
2,site35,2012,233.20875
1,site35,2015,233.20875
2,site35,2014,233.20875
3,site35,2009,233.20875
3,site35,2008,233.20875
2,site35,2017,233.20875
3,site35,2002,233.20875
1,site35,2003,233.20875
2,site35,2004,233.20875
4,site35,2011,233.20875
1,site35,2005,233.20875
1,site36,1999,234.99
3,site36,2000,234.99
6,site36,2006,234.99
2,site36,2005,234.99
4,site36,2001,234.99
3,site36,2014,234.99
4,site36,2016,234.99
3,site36,2010,234.99
2,site36,2004,234.99
8,site36,2009,234.99
3,site36,2017,234.99
4,site36,2007,234.99
1,site36,2002,234.99
3,site36,2013,234.99
1,site36,2003,234.99
3,site36,2012,234.99
3,site36,2015,234.99
5,site36,2008,234.99
2,site36,2011,234.99
1,site37,2015,230.8175
3,site37,2017,230.8175
3,site37,2000,230.8175
2,site37,2005,230.8175
1,site37,2002,230.8175
2,site37,2012,230.8175
2,site37,2003,230.8175
0,site37,2006,230.8175
2,site37,2016,230.8175
2,site37,2010,230.8175
2,site37,2009,230.8175
2,site37,2008,230.8175
2,site37,2013,230.8175
8,site37,2014,230.8175
2,site37,2007,230.8175
7,site38,2006,224.21
7,site38,2017,224.21
9,site38,2014,224.21
2,site38,2005,224.21
2,site38,2000,224.21
6,site38,2011,224.21
4,site38,2001,224.21
9,site38,2015,224.21
2,site38,2003,224.21
5,site38,2010,224.21
2,site38,2004,224.21
5,site38,2012,224.21
1,site38,1999,224.21
8,site38,2013,224.21
5,site38,2002,224.21
8,site38,2016,224.21
1,site38,1998,224.21
4,site38,2008,224.21
5,site38,2007,224.21
3,site38,2009,224.21
1,site39,2001,241.2875
1,site39,1999,241.2875
4,site39,1998,241.2875
2,site39,2016,241.2875
4,site39,2011,241.2875
3,site39,2015,241.2875
2,site39,2004,241.2875
6,site39,2012,241.2875
6,site39,2008,241.2875
3,site39,2005,241.2875
1,site39,2017,241.2875
7,site39,2000,241.2875
4,site39,2014,241.2875
5,site39,2006,241.2875
1,site39,2009,241.2875
0,site39,1997,241.2875
8,site39,2007,241.2875
3,site39,2013,241.2875
6,site39,2003,241.2875
10,site40,2005,237.67625
7,site40,2001,237.67625
5,site40,2016,237.67625
5,site40,2002,237.67625
1,site40,2017,237.67625
11,site40,2004,237.67625
7,site40,2006,237.67625
5,site40,2014,237.67625
6,site40,2000,237.67625
8,site40,1998,237.67625
